git_commit,timestamp,worker_count,rep,job_id,state,duration_s,makespan_s,jobs_per_min,setting_worker_heartbeat_interval,setting_worker_heartbeat_timeout,setting_scheduler_loop_interval,setting_worker_poll_interval,setting_leader_lock_ttl,setting_leader_heartbeat_interval,setting_retry_base_delay
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,1432aa67-4bcf-4d91-87f4-bb9f7ff58ba4,COMPLETED,2.371,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,8f5b0ede-524d-4a01-b632-94fe231b1d4d,COMPLETED,2.386,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,0e3d3656-2a03-48b0-9c0d-ed7532547522,COMPLETED,2.416,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,24c10009-5f08-4184-a184-115a575143e7,COMPLETED,2.435,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,23788e24-5158-4c8d-a743-6c1dbaab7cb6,COMPLETED,1.292,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,d6ceb16b-c6d1-4dae-a225-991bbe663aaf,COMPLETED,1.465,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,00af64b5-1f88-4db9-95eb-51df1794c1ea,COMPLETED,1.416,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,07af86a7-63e3-4144-ae22-2237cf24dd78,COMPLETED,1.5,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,be5577d4-3e7b-471a-81bf-0928001b5917,COMPLETED,1.333,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,c42d37f8-598d-43ce-8e23-8a4f731e6577,COMPLETED,1.222,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,bf9d12b3-e3be-485e-86d9-89a72aa3cf50,COMPLETED,1.214,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,b9e7f38b-aa4e-4066-9c24-9268f02d4b8e,COMPLETED,1.238,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,7f50b44e-20d7-4d90-8741-5aeb13f20fc8,COMPLETED,1.005,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,bc4dc2df-8050-438b-b7d0-9c3ef2fac900,COMPLETED,1.044,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,6df74d25-42cc-4d17-b4e3-6d197b97683c,COMPLETED,1.07,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,2ff95dae-1448-4050-8c36-e3ca05585074,COMPLETED,1.077,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,2eef8964-a61d-47c2-ad79-b8fa20fe9ff4,COMPLETED,0.995,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,7556ea43-63e0-4c43-9633-eb230757ec22,COMPLETED,0.956,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,6c64a2b2-6e1b-4216-ab1e-a794a12593e1,COMPLETED,0.939,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,1,8ec84f20-02e5-41a6-86eb-c453177ee25d,COMPLETED,0.912,10.083,119.01,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,3d158a5f-4cb9-42c0-bbb0-d00dd5460234,COMPLETED,1.013,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,f1f95f1c-97f8-4c82-9495-a395af640e7c,COMPLETED,0.949,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,3ff25a8c-a955-40c1-b606-ac769fb79de3,COMPLETED,1.055,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,d2b499a1-fd12-42c2-9bec-fcb30f57a242,COMPLETED,0.952,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,e23f4377-f7f6-486d-8d94-fdf40493c1be,COMPLETED,0.942,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,1720d5aa-b380-4a11-b578-341926c2bd11,COMPLETED,0.959,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,c42b5e3e-e032-4a71-a7bd-c6b329b4e184,COMPLETED,1.024,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,d0fc9994-727e-4631-a0b4-66f780d99570,COMPLETED,1.011,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,692422e1-7576-4af0-9e5d-5685b81c2d50,COMPLETED,1.044,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,45fc06b6-2135-490d-91d7-d27364e7d46b,COMPLETED,1.046,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,0ecf3d53-f4f9-449b-9f29-2b576a8d3aa0,COMPLETED,1.154,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,120ed42d-9144-43da-b73b-cb4d1496069c,COMPLETED,1.166,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,3a0af9e3-f127-43bf-bfb3-43246ee4b6a7,COMPLETED,1.338,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,0bafedc1-87c1-4907-865a-09f65fce756a,COMPLETED,1.386,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,859ec5e8-0142-495f-a49f-b409e0e65b3a,COMPLETED,0.836,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,7953b0c5-8a36-40c2-806a-348e0781721f,COMPLETED,0.834,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,f354a689-1ae8-4ea9-9a6f-527790df9469,COMPLETED,4.239,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,e8895046-583c-4650-a59a-8b1579336222,COMPLETED,4.269,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,44570446-eef2-4673-bf07-88b8caa2a4d6,COMPLETED,1.011,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
d51a016,2026-06-11T17:53:29.779880+00:00,4,2,088d9b02-7e46-43b8-ab72-a8d0ec1db276,COMPLETED,1.025,11.792,101.76,2.0,15.0,0.1,0.5,15.0,5.0,2.0
