t_s,queued,scheduled,running,completed
0.0,1,0,0,0
2.1,12,0,8,0
4.1,12,0,8,0
6.1,10,0,2,8
8.1,9,0,1,10
10.1,7,0,1,12
12.1,5,1,0,14
14.1,4,0,1,15
16.2,2,0,1,17
21.4,1,0,0,19
23.5,1,0,0,19
25.5,1,0,0,19
27.5,1,0,0,19
29.5,1,0,0,19
31.5,1,0,0,19
33.5,1,0,0,19
35.5,1,0,0,19
37.5,1,0,0,19
39.5,1,0,0,19
41.6,1,0,0,19
43.6,1,0,0,19
45.6,1,0,0,19
47.6,1,0,0,19
49.6,1,0,0,19
55.0,1,0,0,19
57.0,1,0,0,19
59.0,1,0,0,19
61.0,1,0,0,19
63.0,1,0,0,19
65.0,1,0,0,19
67.1,1,0,0,19
69.1,1,0,0,19
71.1,1,0,0,19
73.1,1,0,0,19
75.1,1,0,0,19
77.1,1,0,0,19
79.1,1,0,0,19
81.1,1,0,0,19
83.1,1,0,0,19
88.5,1,0,0,19
90.5,1,0,0,19
92.5,1,0,0,19
94.5,1,0,0,19
96.5,1,0,0,19
98.6,1,0,0,19
100.6,1,0,0,19
102.6,1,0,0,19
104.6,1,0,0,19
106.6,1,0,0,19
108.6,1,0,0,19
110.6,1,0,0,19
112.6,1,0,0,19
114.7,1,0,0,19
116.7,1,0,0,19
122.0,1,0,0,19
124.0,1,0,0,19
126.0,1,0,0,19
128.1,1,0,0,19
130.1,1,0,0,19
132.1,1,0,0,19
134.1,1,0,0,19
136.1,1,0,0,19
138.1,1,0,0,19
140.1,1,0,0,19
142.1,1,0,0,19
144.1,1,0,0,19
146.2,1,0,0,19
148.2,1,0,0,19
150.2,1,0,0,19
155.5,1,0,0,19
157.5,1,0,0,19
159.5,1,0,0,19
161.5,1,0,0,19
163.6,1,0,0,19
165.6,1,0,0,19
167.6,1,0,0,19
169.6,1,0,0,19
171.6,1,0,0,19
173.6,1,0,0,19
175.6,1,0,0,19
177.6,1,0,0,19
179.6,1,0,0,19
181.6,1,0,0,19
183.6,1,0,0,19
189.0,1,0,0,19
191.0,1,0,0,19
193.0,1,0,0,19
195.0,1,0,0,19
197.0,1,0,0,19
199.0,1,0,0,19
201.0,1,0,0,19
203.1,1,0,0,19
205.1,1,0,0,19
207.1,1,0,0,19
209.1,1,0,0,19
211.1,1,0,0,19
213.1,1,0,0,19
215.1,1,0,0,19
217.1,1,0,0,19
222.5,1,0,0,19
224.5,1,0,0,19
226.5,1,0,0,19
228.5,1,0,0,19
230.5,1,0,0,19
232.5,1,0,0,19
234.6,1,0,0,19
236.6,1,0,0,19
238.6,1,0,0,19
240.6,1,0,0,19
242.6,1,0,0,19
244.6,1,0,0,19
246.6,1,0,0,19
248.6,1,0,0,19
250.7,1,0,0,19
256.0,1,0,0,19
258.0,1,0,0,19
260.0,1,0,0,19
262.0,1,0,0,19
264.0,1,0,0,19
266.0,1,0,0,19
268.1,1,0,0,19
270.1,1,0,0,19
272.1,1,0,0,19
274.1,1,0,0,19
276.1,1,0,0,19
278.1,1,0,0,19
280.1,1,0,0,19
282.1,1,0,0,19
284.7,1,0,0,19
290.2,1,0,0,19
292.2,1,0,0,19
294.3,1,0,0,19
296.3,1,0,0,19
298.3,1,0,0,19
300.3,1,0,0,19
302.3,1,0,0,19
304.3,1,0,0,19
306.3,1,0,0,19
308.3,1,0,0,19
310.3,1,0,0,19
312.4,1,0,0,19
314.4,1,0,0,19
316.4,1,0,0,19
321.0,1,0,0,19
323.0,1,0,0,19
325.0,1,0,0,19
327.0,1,0,0,19
329.0,1,0,0,19
331.0,1,0,0,19
333.1,1,0,0,19
335.1,1,0,0,19
337.1,1,0,0,19
339.1,1,0,0,19
341.1,1,0,0,19
343.1,1,0,0,19
345.2,1,0,0,19
347.2,1,0,0,19
349.2,1,0,0,19
354.5,1,0,0,19
356.5,1,0,0,19
358.6,1,0,0,19
360.6,1,0,0,19
362.6,1,0,0,19
364.6,1,0,0,19
366.6,1,0,0,19
368.6,1,0,0,19
370.6,1,0,0,19
372.7,1,0,0,19
374.7,1,0,0,19
376.7,1,0,0,19
378.7,1,0,0,19
380.7,1,0,0,19
382.7,1,0,0,19
388.1,1,0,0,19
390.1,1,0,0,19
392.1,1,0,0,19
394.1,1,0,0,19
396.1,1,0,0,19
398.2,1,0,0,19
400.2,1,0,0,19
402.2,1,0,0,19
404.2,1,0,0,19
406.2,1,0,0,19
408.2,1,0,0,19
410.2,1,0,0,19
412.2,1,0,0,19
414.2,1,0,0,19
416.3,1,0,0,19
421.6,1,0,0,19
423.6,1,0,0,19
425.6,1,0,0,19
427.6,1,0,0,19
429.6,1,0,0,19
431.6,1,0,0,19
433.6,1,0,0,19
435.6,1,0,0,19
437.7,1,0,0,19
439.7,1,0,0,19
441.7,1,0,0,19
443.7,1,0,0,19
445.7,1,0,0,19
447.7,1,0,0,19
449.7,1,0,0,19
455.1,1,0,0,19
457.1,1,0,0,19
459.1,1,0,0,19
461.1,1,0,0,19
463.1,1,0,0,19
465.1,1,0,0,19
467.1,1,0,0,19
469.1,1,0,0,19
471.1,1,0,0,19
473.1,1,0,0,19
475.2,1,0,0,19
477.2,1,0,0,19
479.2,1,0,0,19
481.2,1,0,0,19
483.2,1,0,0,19
488.6,1,0,0,19
490.6,1,0,0,19
492.6,1,0,0,19
494.6,1,0,0,19
496.6,1,0,0,19
498.6,1,0,0,19
500.7,1,0,0,19
502.7,1,0,0,19
504.7,1,0,0,19
506.7,1,0,0,19
508.7,1,0,0,19
510.7,1,0,0,19
512.7,1,0,0,19
514.7,1,0,0,19
516.8,1,0,0,19
522.1,1,0,0,19
524.1,1,0,0,19
526.1,1,0,0,19
528.1,1,0,0,19
530.2,1,0,0,19
532.2,1,0,0,19
534.2,1,0,0,19
536.2,1,0,0,19
538.2,1,0,0,19
540.2,1,0,0,19
542.2,1,0,0,19
544.2,1,0,0,19
546.2,1,0,0,19
548.3,1,0,0,19
550.3,1,0,0,19
555.6,1,0,0,19
557.6,1,0,0,19
559.6,1,0,0,19
561.6,1,0,0,19
563.6,1,0,0,19
565.6,1,0,0,19
567.7,1,0,0,19
569.7,1,0,0,19
571.7,1,0,0,19
573.7,1,0,0,19
575.7,1,0,0,19
577.7,1,0,0,19
579.7,1,0,0,19
581.8,1,0,0,19
583.8,1,0,0,19
589.1,1,0,0,19
591.1,1,0,0,19
593.1,1,0,0,19
595.2,1,0,0,19
597.2,1,0,0,19
599.2,1,0,0,19
601.2,1,0,0,19
603.2,1,0,0,19
605.2,1,0,0,19
607.2,1,0,0,19
609.2,1,0,0,19
611.2,1,0,0,19
613.2,1,0,0,19
615.3,1,0,0,19
617.3,1,0,0,19
622.6,1,0,0,19
624.6,1,0,0,19
626.6,1,0,0,19
628.7,1,0,0,19
630.7,1,0,0,19
632.7,1,0,0,19
634.7,1,0,0,19
636.7,1,0,0,19
638.7,1,0,0,19
640.7,1,0,0,19
642.7,1,0,0,19
644.8,1,0,0,19
646.8,1,0,0,19
648.8,1,0,0,19
651.3,1,0,0,19
656.1,1,0,0,19
658.1,1,0,0,19
660.2,1,0,0,19
662.2,1,0,0,19
664.2,1,0,0,19
666.2,1,0,0,19
668.2,1,0,0,19
